City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
Delhi,492.03,659.7,164.33,69.86,191.78,74.38,4.85,20.29,43.68,14.12,99.33,2.74,Severe
Hyderabad,16.21,36.8,3.84,20.02,13.71,18.1,0.6,9.95,17.36,0.24,2.27,0.57,Good
Delhi,366.5,546.54,121.65,73.51,147.93,58.28,2.88,16.4,35.93,9.33,60.58,2.38,Severe
Hyderabad,7.44,30.94,2.52,8.04,6.2,9.4,0.34,9.01,16.61,0.07,0.44,0,Good
Delhi,115.2,208.95,57.7,51.92,64.66,31.74,1.45,9.64,18.13,5.22,41.41,3.02,Poor
Delhi,361.49,514.17,64.79,89.16,149.06,59.67,2.26,29.18,71.9,7.28,16.42,0,Severe
Delhi,324.31,500.45,116.65,126.87,160.58,71.6,3.4,24.86,107.49,9.72,27.18,0,Severe
Delhi,216.39,748.47,9.38,20.81,25.23,23.27,0.8,5.8,23.07,1.16,12.01,0,Severe
Hyderabad,24.62,39.38,2.96,11.6,7.36,10.03,0.34,7.99,12.1,0.1,2.07,0,Good
Delhi,84.6,395.37,15.77,33.7,33.97,28.98,1.41,11.41,14,2.63,25.92,1.88,Poor
Visakhapatnam,7.25,35.5,16.88,10.75,19.48,3,0.29,9.32,15.23,2.27,6.32,1.75,Good
Hyderabad,58.04,145.05,2.86,43.34,24.95,14.89,0.83,8.54,30.93,4.72,25.67,2.84,Moderate
Delhi,818.87,894.91,16.88,51.23,44.69,72.43,3.3,11.29,22.15,6.73,21.43,0.85,Severe
Delhi,254.9,465.11,142.75,88.09,174.38,51.94,3.78,19.99,26.68,8.99,74.98,1.66,Severe
Patna,48.55,135,29.6,19.49,29.32,17.12,1.32,10.29,55.4,0.77,4.19,0.52,Moderate
Kolkata,9.79,23.75,4.54,8.51,13.11,11.77,0.29,7.6,26.5,1.12,12.6,0.59,Good
Delhi,149.12,315.07,104.8,84.61,110.79,53.08,3.02,16.89,25.58,5.22,12.06,0,Very Poor
Delhi,31.46,69.7,5.92,24.63,19.51,22.24,0.75,8.86,22.41,1.69,11.78,0.74,Satisfactory
Amritsar,24.76,62.09,13.05,10.55,23.6,9.35,1.17,9.37,45.42,2.41,1.11,3.31,Satisfactory
Amritsar,30.75,93.87,33.82,62.94,109.77,13.01,0.66,2.08,13.48,11.21,7.64,6.24,Moderate
Delhi,168.67,267.72,24.61,36.55,51.38,144.96,9.06,4.53,20.79,5.23,9.09,2.84,Very Poor
Hyderabad,10.71,21.8,3.39,18.13,12.3,12.94,0.32,11.46,17.78,0.36,2.68,0.43,Good
Delhi,199.41,357.61,15.54,71.29,67.95,56.16,1.22,26.33,91.28,3.73,7.29,0,Severe
Delhi,183.59,308.1,17.12,33.47,39.15,139.4,4.29,3.6,31.26,3.28,5.42,4.11,Very Poor
Amritsar,80.75,169.49,29.48,18.59,48.07,2.11,4.3,6.35,18.16,4.85,9.3,15.95,Poor
Amaravati,109,170.5,8.98,80.58,50.17,10.73,2.06,10.5,20.58,0.1,0.2,0.1,Poor
Delhi,298.24,400.6,124.61,57.33,133.49,53.08,2.94,14.11,26.38,10.39,90.37,2.61,Severe
Hyderabad,24.12,58.15,1.9,24.48,14.56,8.74,0.34,5.98,55.75,1.18,6.05,0.32,Satisfactory
Hyderabad,51.38,157.12,2.92,24.06,7.6,16.13,0.14,9.41,82.62,0.06,0.88,0.1,Moderate
Amritsar,186.89,338.67,44.39,19.02,63.41,2.23,2.01,10.09,17.16,6.59,13.12,16.97,Very Poor
Hyderabad,22.92,53.83,1.21,18.19,6.38,7.1,0.25,3,48.2,0.18,0.77,0.4,Satisfactory
Delhi,261.82,380.43,32.67,52.78,55.11,62.01,1.63,8.55,22.4,5.38,21.33,0.24,Severe
Hyderabad,19.55,39.4,5.1,23.54,15.58,10.35,0.45,2.99,26.22,0.87,4.8,0.01,Good
Kolkata,11.96,24.94,5.26,8.71,13.97,10.34,0.31,3.96,28.41,13.51,15.73,1.14,Good
Amritsar,22.39,38.25,8.17,8.91,17.06,10.05,0.39,5.66,10.75,3.48,1.14,2,Good
Amritsar,12.81,44.3,7.68,9,16.68,10.07,0.29,5.3,9.87,3.5,1.13,2,Good
Visakhapatnam,40.5,101,22.55,69.92,50.88,8.28,1.41,24.97,27.9,7.95,12.88,11.75,Moderate
Visakhapatnam,66.5,342,114.6,60.43,125.32,15.62,1.15,81.9,1.75,13.35,21.68,10.85,Poor
Kolkata,8.27,13.57,8.19,5.41,13.59,9.56,0.29,2.37,25.83,13.34,8.8,1.98,Good
Delhi,92.24,209.97,15.69,33.89,47.71,32.33,9.83,18.98,32.89,3.56,6.81,2.27,Poor
Kolkata,120.22,219.77,33.44,44.1,77.45,30.01,1.1,14.66,5.3,37.69,44.48,2.31,Poor
Delhi,214.8,321.48,32.58,45.95,54.48,49.43,1.3,8.3,18.24,4.77,26.93,0.33,Very Poor
Delhi,104.88,204.51,36.36,74.96,77.83,42.87,1.66,9.9,27.88,3.95,26.06,0.45,Very Poor
Delhi,363.02,568.51,131.51,98.53,159.93,51.02,3.76,16.57,13.32,10.06,79.17,2.02,Severe
Delhi,318.18,449.13,106.75,72.8,126.72,98.08,2.23,14.46,88.71,9.74,32.81,0.06,Severe
Delhi,390.66,639.39,30.66,84.08,97.72,60.99,1.97,112.67,136.36,5.29,10.08,0,Severe
Visakhapatnam,7.5,36,5.48,32.03,19.65,12.58,0.5,20.7,20.7,3.47,4.1,1.6,Good
Visakhapatnam,4.5,25.25,23.3,34.65,37.4,7.72,0.62,10.3,4.88,7.45,13.88,6.17,Good
Visakhapatnam,9.25,63,2.45,50.95,29.1,12.12,0.47,12.82,17.52,3.17,10.6,0.67,Satisfactory
Delhi,120.53,249.23,43.64,80.11,78.79,42.24,1.61,16.89,32.86,4.6,40.27,0.4,Very Poor
Delhi,153.36,263.93,81.1,70.52,104.71,81.07,2.83,23.94,27.87,8.69,34.05,0.1,Very Poor
Amritsar,194.86,254.26,5.29,22.76,28.06,60.68,1.31,3.74,12.7,2.9,12.63,25.89,Very Poor
Delhi,761.8,697.96,89.14,119.57,86.32,89.08,2.83,30.28,44.4,11.95,40.39,0.06,Severe
Amaravati,8,10,4.07,19.07,13.45,2.52,0.25,19.27,21.12,0.12,0.82,0.1,Good
Delhi,124.41,273.76,10.03,37.6,29.01,46.86,1.38,24.04,86.44,4.01,31.83,0.33,Very Poor
Visakhapatnam,23,77,25.15,51.45,47.83,4.4,0.53,19.75,11.05,7.25,20.25,7.83,Satisfactory
Delhi,287.83,339.9,161,59.73,207.6,44.17,2.57,14.22,108.16,13.69,50.74,1.99,Severe
Visakhapatnam,8.75,48.5,1.35,25.48,13.85,13.47,0.69,12.85,54.55,1.43,8.07,0.95,Satisfactory
Delhi,235.01,363.36,19.73,102.2,108.23,70.54,2.11,20.15,152.27,3.45,10.02,0,Severe
Kolkata,99.77,191.5,25.31,83.25,108.68,22.67,1.06,25.24,33.87,33.87,42.71,3.06,Poor
Kolkata,17.31,39.82,4.36,9.11,13.53,14.98,0.39,8.35,68.27,1.81,7,0.37,Satisfactory
Chandigarh,14,22.55,2.44,6.6,5.31,38.72,0.26,11.75,15.73,2.57,0.18,1.12,Good
Amaravati,40.25,147,25.52,55.32,50.2,16.62,2.06,15.55,15.7,0.1,0.55,0.1,Moderate
Hyderabad,58.38,157,5.69,56.98,17.46,54.88,0.19,20.7,14.45,0.05,1.06,0.64,Moderate
Visakhapatnam,107.25,212.75,44.6,116.78,98.35,17.55,2.91,8.38,27.3,11.65,21.95,11.88,Poor
Delhi,211.79,331.85,26.38,66.22,60.21,47.7,1.37,25.57,45.31,6.48,51.6,5.98,Very Poor
Gurugram,27.92,46.21,5.36,12.28,7.76,37.28,0.46,19.41,84.71,3.95,7.37,18.68,Satisfactory
Chandigarh,7.86,21.06,2.36,12.01,8.14,23.72,0.49,18.59,30.82,3.55,0.44,1.14,Good
Chandigarh,33.25,73.52,6.94,16.36,14.32,52.2,0.56,8.07,8.61,6.14,0.14,0.88,Satisfactory
Hyderabad,42.19,69.88,10.42,24.56,19.68,21.05,0.39,5.86,19.09,1.13,3.09,0.06,Satisfactory
Delhi,181.58,287.34,43.95,56.32,69.9,44.9,1.56,16.76,22.37,4.46,17.86,0.42,Very Poor
Delhi,159.78,270.74,15.06,59.1,64.05,50.27,1.34,16.36,48.03,3.19,11.28,0.1,Very Poor
Delhi,211.45,346.49,30.42,45.51,1.86,60.73,1.39,19.63,62.23,2.49,4.16,1,Very Poor
Kolkata,18.03,33.75,8.26,24.27,32.73,8.6,0.43,2.63,15.69,15.99,13.28,2.1,Good
Delhi,182.27,328.81,16.34,64.43,71.9,41.6,1.13,22.85,51.01,2.71,5.48,0.1,Very Poor
Amaravati,12.5,24,1.9,3.9,3.62,7.07,0.15,2.75,36.75,4.98,0,26.5,Good
Delhi,184.04,290.69,17.94,44.96,50.29,51.22,1.11,24.54,80.93,1.94,5.86,0.07,Very Poor
Amritsar,11.51,53.94,20.56,11.96,30.22,11.82,0.72,6.07,22.14,1.32,1.45,2,Satisfactory
Hyderabad,20,40.33,6.18,26.19,17.99,15.06,0.35,4.46,16.12,1.01,5.25,0.17,Good
Delhi,219.25,400.33,18.51,51.84,46.28,54.47,1.45,21.15,57.7,5.79,30.51,2.8,Severe
Delhi,129.54,343.17,11.9,37.43,43.46,40.62,1.54,12.11,56.33,3.25,8.59,2.94,Very Poor
Delhi,252.67,367.51,46.22,51.02,69.23,58.1,1.63,11.77,23.41,5.51,24.93,0.29,Severe
Patna,111.66,180.77,31.25,29.36,59.58,28.86,2.2,10.3,13.39,0.3,0.5,2.12,Poor
Delhi,646.69,792.44,31.33,41.85,52.1,53.26,2.19,11.52,13,7.05,33.17,0.62,Severe
Hyderabad,23.33,40.5,6.93,19.2,14.63,13.98,0.2,4.62,30.04,0.89,2.39,1.48,Good
Kolkata,87.88,163.66,83.18,52.52,135.79,24.93,1.19,8,8.45,38.91,62.35,3.77,Poor
Amritsar,14.23,23.83,12.04,9.88,21.5,11.68,0.74,7.31,32.67,1.52,1.71,2,Good
Delhi,191.15,291.02,28.08,50.5,53.21,41.17,1.52,7.92,25.86,5.98,24.4,0.4,Very Poor
Delhi,115.31,270.88,30.19,47.23,63.99,68.57,0.87,12.57,85.27,3.02,4.16,0,Poor
Hyderabad,41.5,87.58,1.91,17.28,5.37,7.52,0.2,4.78,52.22,0.52,3.86,0.35,Satisfactory
Amaravati,23,54.75,0.95,33.92,18.85,6.12,0.71,14.22,34.05,0.1,3.6,0.3,Satisfactory
Hyderabad,34.62,87.75,1.28,40.99,11.42,17.95,0.11,7.84,14.72,0.02,0.6,0.08,Satisfactory
Delhi,329.6,438.02,13.04,39.23,34.24,39.49,1.45,13.21,32.4,4.04,35.89,0.45,Severe
Hyderabad,63.05,143.5,13.83,58.91,42.37,18.84,0.53,16.36,13.46,7.1,51.68,3.24,Moderate
Visakhapatnam,37,80,3.2,19.05,12.75,11.9,0.9,3.6,23.2,4.5,5.95,1.15,Satisfactory
Hyderabad,72.46,159.85,2,48.65,27.4,19.89,0.76,14,48.03,2.31,11.93,8.77,Moderate
Delhi,431.07,585.4,84.84,99.49,91.28,62.61,3.36,27.38,115.27,6.18,28.29,0.09,Severe
Delhi,103.27,194.96,26.11,24.5,48.91,21.84,5.52,6.25,23.9,4.36,22.24,9.7,Poor
Kolkata,11.6,19.8,7.13,17.58,23.05,10.8,0.47,3.61,18.74,17.63,20.27,2.64,Good
Visakhapatnam,72.5,134.75,3.15,6.73,6.18,13.73,0.6,14.62,128.5,2.35,4.15,0.72,Moderate
Delhi,136.23,535.61,18.61,37.48,49.42,35.92,1.21,10.22,30.08,4.53,10.04,0,Severe
Delhi,285.34,452.95,200.53,70.26,211.43,66.28,3.99,19.25,29.4,13.04,121.46,3.63,Severe
Chandigarh,13.99,33.99,3.56,15.99,11.6,62.22,0.37,9.23,13.51,3.13,0.13,1.05,Good
Delhi,132.33,242.99,46.59,40.68,81.09,55.99,1.45,9.8,42.09,2.02,5.63,0.7,Very Poor
Hyderabad,34.08,68.85,3.15,20.25,11.09,11.08,0.36,2.87,8.51,0.32,2.38,0.56,Satisfactory
Delhi,200.96,573.9,49.07,77.07,86.52,49.05,15.97,4.64,35.86,4.72,9.16,2.09,Very Poor
Delhi,149.25,305.36,24.55,53.93,50.24,40.22,0.98,23.88,59.36,4.61,23.89,1.59,Very Poor
Kolkata,14.69,38.32,8.47,15.67,24.15,10.33,0.39,3.83,9.29,14.23,12.92,1.41,Good
Hyderabad,56,94,9.75,83.4,23.92,17.85,0.8,20.03,28.83,0.05,1.6,1.68,Moderate
Delhi,122.96,186.51,22.74,36.56,41.47,40.26,1.02,8.43,16.92,3.4,16.81,0.09,Poor
